	ID	Comment
50	  loveee	너무 일찍 데뷔해서 그런가 ㅋㅋㅋㅋㅋ 다 어리다고 생각하네 ㅋㅋㅋㅋㅋㅋ 이젠 19살인데 잇지 유나랑 비교해보셈 ㅋㅋㅋ
51	  좌좌	뭐가 어려 ㅋㅋㅋㅋ웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋ
52	  YeC L	18이면 아직 엄청 애긴거 맞잖아.... 성인도 안됐는데 겉모습이 성숙하다고 다 컸다고 생각하면 안되지 너네 고딩때를 생각해봨ㅋㅋㅋㅋㅋ 아 아직 잼민들이라 뭘 모르는건가 ?
53	  loveee	 @YeC L  핀트 흐리네 연예계에서 19살은 어린거 아닌데? 아이린 내 나이때 데뷔했는데 사람들 반응이 아이린 나이 많다고 그랬던 거 기억 안남? 일반인 고딩때랑 아이돌 고딩때랑 비교하면 안되지 ㅋㅋㅋㅋㅋㅋ + 잇지 유나는 어떻게 생각함? ㅋㅋ
54	  이수만	 @YeC L  이야... 그럼 어리다고 언제까지 봐줄래? 너무 장원영한테만 어리다고 많이 봐주는거 아님?? ㄹㄷㅂㅂ ㅇㄹ 는 17살에 데뷔해서 있는욕 없는욕 다먹으면서 활동해왔는데... 어리다고 봐주는사람 한명도 없었음...
55	  도도한 파민	 @YeC L  데뷔 4년차입니다. 그만 환상에서 깨어나세요!
56	  EP ST	 @YeC L  같은 그룹 막내가 표정은 더 좋은 듯 누가 더 어림? 누가 더 무대 경험 많음? 그저 쉴드
57	  숭아	일단 누가 뭐래도 쉰내나는 손가락으로 악플 쓰는 너네보단 장원영은 갓생 살고 있다는 거임
58	  *치킨은언제나옳다	그냥 더잘될거라해요 원영이팬들 자꾸 나이들먹이는거 오히려 원영이 욕먹이고 있는거 왜모름?원영이보다 더어린나이에 데뷔해서 노래잘하고 춤잘추는 아이돌가수들있는데 그럼 원영이가 재능이 부족하단말밖에 더되요? 그냥 따수운 시선으로 이쁘게 지켜봐달라고 하는게 더 나아요...;;;
59	  Charlotte	장원영 아무리 표정 맘에 안든단 사람들도그 얼굴 자체가 못생겼단 소리는 안꺼냄사실대로 말하자면 장원영 진짜 엄청 이쁜건모두가 인정했던 사실이고프듀부터 지금까지 보컬 논란은 있어도얼굴 몸매 논란은 없었던거 보면이쁜건 진짜 인정임 심지어나도 저 표정을 좋아하는축에 속하지 않지만얼굴을 까진 않음....다만 저런 엔딩을 특히 더 많이 하는장원영같은 경우에는 한번씩은 몰라도계속 저표정으로 나가는건 질릴 이유도 없지 않다고생각한다노래 끝나고도 무대에서 최선을 다해 엔딩하려는노력은 좋지만 약간 눈동자 힘풀고 너무 이쁘게만보이려는 웃음보다는 팬들에게 행복함을 주고(물론 저표정을 좋아하는 사람도 있겠지만)활짝 웃는 웃음을 더 좋아한다는걸 알았으면좋겠다....나같이 생각하는 사람들한테열폭이니 뭐니 과몰입하면서 단번에단정지어버리는 분들도 자제했으면 좋겠음물론 장원영에게도 악플은 진짜 못할 짓이고.
60	  오각형	ㄹㅇ 표정 맘에 안드는 사람은 많아도 못생겼다는 말 한마디도 없음. 그만큼 장원영 외모 ㅅㅌㅊ임. 다만 사람들이 왜 불편한가 생각해봤는데 나이에 안맞는 표정이 과한게 문제인듯. 그 예쁜 얼굴을 과하게 뇌색적이게 표정을 지으니까 붕떠보이는거지. 그냥 얼굴이랑 자기가 표현하고싶은 컨셉이 조화롭지 않아서 사람들이 그걸 트집잡는듯
61	  -Cle-	" @오각형  ㅇㄱㄹㅇ 미성년자인데 성인을 유혹하는 눈빛? 약간 그런게 있음. 성인도 아닌데 과도한 섹시함, 끼가 과해지니 표정이 과해져서 그게 눈살 찌뿌리게 하는거임. 아직 귀여울 나이인데 귀여움이 아니라 섹시함으로 바뀜. 아이즈원때는 그런게 없었음"
62	  벌뜨데이걸	갸륵하던말던 제일예쁘고 잘함 춤추면서 표정연기 하는건데 조롱하지 맙시다. 갸륵하다고 놀리는 표정 다 이쁨 무슨 표정을 짓든 무대에서 빛남절대 상처받지 말고 아이돌 생활해주길
63	  최다니	조롱이 아니라 갸륵한거 맞는데 장원영 팬들은 꼭 팩트인 피드백까지 다 쉴드침
64	  ᄋᄋ	아이돌이 대중문화라서 호불호 갈린다는건 앞으로의 행보에도 지장이 되는건 당연함. 무조건 까고 비판적으로만 말한다면 그거도 문제지만 남들이 보기에도 불편하다면 누군가는 조심히라도 말해줘야 할 조언이라 생각이 듦.
65	  얍호	그냥 이쁘다 너무.. 다른 유명한 분이 저런 표정지으면 귀엽다고 예쁘다고 할 거면서 왜그러는거야 진짜꿋꿋하게 멘탈 안 깨지고  자기 할 일하는 장원영이 대단하기만 하다
66	  또꿍먕	ㅇㅇ 어떵 사람들은 장원영으로 조회수 빨아먹고 이지랄
67	  ㅇ	방송에서는 안그래도 뒤에서는 존나 힘들어 할지도 모름....
68	  lymj	나도 장원영 좋아하지만 첫줄은 너무 억빠인 듯…
69	  빡박	갸륵 ㅋㅋ누가붙였는진 몰라도 잘어울리고 귀엽네ㅋㅋㅋㅋ
70	  🥑	그만큼 대중들에게 더 잘보이고 싶고 예뻐보이고 싶은 마음이 느껴져서 좋다 초심 안잃고 항상 열심히 할듯
71	  룰루랄라	난 저 표정 자체는 예쁘지만 곡의 느낌이 있고 분위기가 있는데 맨날 저 예쁜 표정만 하니까 개인적으로 표정 잘 하는지 모르겠음 (내 기준 무대천재: 청하)cf광고에선 저게 잘하는 거겠지만 오히려 다른 멤버들이 더 잘하는 듯그리고 장원영 표정 잘한다잘한다 얘기 나오니까 이후로 아이돌 프로그램 같은 거에서 맨날 표정만 신경쓰는 느낌
72	  shhhhhh	아 이건 진짜 맞말이지; 솔직히 ㅂㅂㅂㄱ임 솔직히... 청하처럼 곡 컨셉과 분위기와 자연스럽게 어우러지는 표정 연기가 아니라 그냥 맨날 저 갸륵거리는 것만 ctrl+c ctrl+v 하는 건데 이게 잘하는 건 아니지... 자기 자신도 얼굴근육 하나하나에만 너무 신경을 쓰고 있어서 무대를 제대로 못하는 거 같음.....
73	  Back Woody	ㅇㅇ 맞아요 맨날똑같
74	  I AM CRYING	근데..어쨌든 무대를 위해 연습해서 얻은 표정연기라고 생각해요
75	  요구르트	뭐든 예뻐서 걍 존나좋음ㅋㅋㅋㅋㅋㅋ
76	  minsung park	시녀근성ㅋㅋㅋㅋ
77	  요구르트	 @minsung park  애초에 아이돌이라는게 이거저거 다 잘하는 분야가 있는데 장원영은 예쁘고 몸매좋거 길쭉길쭉 한 애인거지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그~저 실력이니 인성이니 뭐니 까는 수듄이 갸륵꺄륵하네요 ^^
78	  Karlie Kloss	갸륵모음집 ㅋㅋㅋㅋㅋㅋ아 웃겨 ㅋㅋㅋㅋㅋ
79	  0ᅡ	워녕이 첫사랑니 연말 무대도 한번 봐주셨음 함... 그냥 이번 일레븐 노래는 본인 그런 표정이 잘 어울린다고 생각한거같은데ㅜㅜ 첫사랑니 무대 보면 프듀때 표정도 좀 나오고  너무너무 이쁨 설령 누가 누구 따라한다고 하더라도 그게 욕 먹고 비판 받을일은 아니지 않나요ㅠ
80	  요베리	소속사에서 얼마나 푸쉬를 했겠어....본인 욕심도 있겠지만 센터로 장원영 세우면서 저표정 만들어 내느라.. 본인도 힘들꺼임..분명 사람들이 안좋게 생각할꺼란거 알지만 소속사에 소속된 더군다나 신인가수는 힘이 없음... 예뻐~ 예쁘지만 언제까지 표정하나까지 만들어진 얼굴로 즐겁게 활동할수 있을까ㅜㅜ 그리고너무 말랐어......정말 극한직업..
81	  강의용 계정	갸륵이라는 뜻은 인자하고 장하다라는 뜻으로 장원영의 눈이 마치 여신이 하인들이나 무수리들을 장하게 여기는 것처럼 보이는 표정을 지어서 그렇게 붙여진 듯 합니다.
82	  감바스먹고싶다	난 저 표정 좋던데…빵끗웃는것도 좋고 갸륵한 표정도 좋음 걍 예뻐서 다 어떤 표정해도 다 좋음
83	  유냐	팬들한텐 좋겠지..
84	  EP ST	아니 근데 모든 무대마다 저 표정이니..좀…
85	  있잖아요오	예쁜건 아는데 ... 일부러 눈웃음 지으면서 입가에는 미소 근데 이게 좀 애매해...뭔가 좀 어색하고 어설픈...억지스러운?? 차라리 프듀때나 아이즈원때처럼 표정을 하는게 자연스럽고 좋은거 같은데....지금은 뭔가 어린아이가 성인요성 표정 따라하는 느낌....아이즈원때가 더 즐기고 나이에 맞게 싱그러운 느낌이었음...뭐 팬들은 이제 득달같이 달려들겠지만 내가 보기에는 그렇게 보임
86	  do hyeon	장원영의 일레븐 무대 표정을 보고 비올레타 뮤비 초반에 나오는 장원영을 보고 왔다..눈물이 흘렀다...
87	  주크	저건 무대라서 호불호가 갈리지.. 일상에서 두번인가 봤는데 얘 취했나 눈까리에 힘 풀렸네 느낌임
88	  성이름	이쁘기만하구만 나는 그표정이 너무이뻐서 지나칠때마다 멈추고 보게돼서 자꾸 알고리즘에 뜸 ㅋㅋㅋ 표정부자 원영이 하고싶은거 다해 이뻐
89	  반형진	왤캐 킹받지 ㅋㅋ
90	  이지환	그럼 보지마 ㅋㅋㅋ
91	  뾰롱야옹	적당히 하는게 좋은데 너무 시도때도없이 윙크하고 표정이 인위적이라 나도 모르게 볼때 뭔가 ㅜㅜ 미간이 찌뿌려짐 자연스럽게 하면 볼때도 편안한데 ㅜㅜ 그냥 자연스럽게 했으면.... 아이돌 중에 제일 이뻐서 뭘 해도 자연스럽게해도 다 이쁜뎈ㅋㅋㅋㅋㅋ
92	  불나바	갸륵이 무슨 말인지 몰랐는데 이 영상 보고 뭔지 확실히 앎 ㅋㅋㅋㅋㅋ
93	  안녕	장원영 진짜 이뻐 진짜 이쁜건 알겠는데 어쩌다가 쟤 표정 볼때마다 거북하고 어휴...너무 인위적임 .... 안보면 된다는분 많은데 아이브 밀어주기 많아서 어쩌다 보고 알고리즘 썸넬로 보이는데 어떻게 안보냐
94	  Heonel허넬	그래.. 계속 그 표정을 짓겠다면 내가 계속 보고 좋아해볼게.. 아직은 좀 힘드네
95	  아 프사 뭘로하냐	킹받는다 표정진짜
96	  없음	나이에 안 맞는 느낌이고 뭐고를 떠나 거북한 표정임 그냥 본인 느낌에 어울리지도 않고 이질적임 그리고 얘는 안면 근육으로 장난 칠 시간에 노래나 연습해야 함
97	  황려	무리하게 프리지아 따라하다가 망침ㅋㅋ
98	  안녕	ㅇㅈ
99	  doah	 @황려  대체 어딜봐서 프리지아를 따라 했다는 거지? ㅋㅋㅋ
100	  J	 @doah  다 인정하는데 지만 아니라고 떽떽거리노
101	  doah	 @J  그냥 물타기 인거지 ㅋㅋㅋ 설마 탈덕 수용소 믿는건 아니지?~
102	  doah	 @장첸  장원영이 프리지아 따라한다는 근거가 뭔데 ㅋㅋㅋ
103	  호양이	니 인생이나 잘 살렴 ㅎ
104	  킹받는o3o	우웩 참 사람 표정 하나 가지고 이렇다 저렇다 할 짓 존나게 없네
105	  알감자	프리지아 사건 터지고 게시물도 장원영이 먼저인게 알려진 지금 저 사람은 어떻게 말하려나ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
106	  Life is egg	프리지아가 삼백안 때문에 약간 무표정 이어도 저렇게 보이는데 진짜 좀 소름돋는다 ..;;
107	  박연수	프리지아 언급좀 작작하셈
108	  기쁜데 .슬프다	 @박연수  생각이 나는골 오쪼지??
109	  위영	 @박연수  누가봐도 장원영이 표정 옷스타일 사진구도 따라하는데 어케언급을 안함 ㅋㅋㅋ
110	  doah	 @위영  탈덕 수용소 보고 와서 그럼? ㅋㅋㅋㅋㅋㅋㅋ 인스타에 널린 컨셉들인데 프리지아 따라한데 그러네 ㅋㅋㅋ
111	  🥑	사이버렉카충을 그대로 믿는것도 존나웃겨
112	  ㄹㅇ	어차피 프리지아 옆에 데려다놓으면 얘가 훨씬 예뻐..
113	  저기	 @ㄹㅇ  ??? 프리지아랑 장원영이랑 셀카 찍은 거 못 봤나 여기서 프리지아를 패네
114	  닉넴추천받아요	 @ㄹㅇ  그건 좀
115	  미쳐넌내게	장원영이 뭐가 아쉬어서 프리지아를 따라해 ㅋㅋ 좀 제발 보고싶은대로 보지좀 마라
116	  김민G	 @위영  심지어 인스타 사진도 장원영이 먼저 올림~ 억까 그만~ 탈덕수용소 영상보고 온걸 보니 어떻게든 장원영이랑 엮을려고 했던 ㅍㄹㅈㅇ회사 마케팅에 얻어걸린 사람이구만
117	  iasne	전이나 지금이나 엄청 예쁜데 분위기가 확 바뀜전에는 청순하고 벚꽃같은 장원영하면 생각나는 분위기였다면 지금은 도도하고 눈빛이 고양이 느낌
118	  팩트 폭격기	"부자연스러운 이유가 온갖 잡념이나 의도를 하나부터 열까지 모두 의식하면서 얼굴에 담아서 그런거임 다른 말로 하면 무대 혹은 방송에서 무의식적으로 짓는 표정이나 제스처 춤이 없고 모두 의식하면서 조절하고 있을 정도로 엄청난 자기절제, 자기관리 능력을 가지고 있음을 알 수 있음무의식적으로 처리 가능한 부분도 실패의 가능성을 0으로 만들기 위해 의식적으로 통제하려하니까 역효과가 나버리는 것임성격 자체가 완벽주의이거나 강박증을 가지고 있을 가능성이 큼"
119	  Habin Jang	난 솔직히 그냥 웃을때가 더 이쁜것 같당..!
120	  핏짜	아니 라비앙로즈 무대 보고오셈 ㅠㅠㅠㅠㄹㅇ그때는 활짝 웃는데 요즘은 그냥 꾸며낸 미소랄까ㅠㅠㅠㅠㅠ
121	  임서인	아이브 엔딩할때 다른 멤버들 : 싱긋!장원영 : 하~아~힛!
122	  효원 김	졵내 웃겨ㅋㅋㅋㅋㄱㅋㅂㅋㅋㅋ진짜 표정 보니까 갸륵갸륵 자막 달리거 같애
123	  못생겼어너	삼분동안 표정이 개 다양하던데 표정이 항상 같은건 같은 노래니깐… 안무 항상 똑같듯  곡 분위기에 맞춰서 본인이 나름 정해놓은 표정 같은데 예쁘구 잘 맞고 좋던데 어린애 못까서 난달났냐구 ㅠㅠ 말이 얼마나 무서운지 아직도 모르네 다들
124	  Jancey	뭐지 난 저거 개예쁘다고 생각했는데표정연기 천재방탄 뷔는 그럼 갸륵킹일걸장원영 팬 아닌데 걍 너무 예쁜데
125	  yylu	뭔가 재채기 할랑말랑하다가 참아서 코 간지러워 보임
126	  호잇	얼굴 예쁜데 한 표정만 하지 말고 다양한 표정 지어서 그 얼굴 널리 널리 퍼뜨렸으면 좋겠음... 갸륵한 표정 넘 많아효
127	  deep dark	갸륵이든 뭐든 귀여보
128	  yh	와 첫번째 사진 진짜진짜.............. 이쁘다 .....살면서 이렇게 이쁜 사람은 그냥 처음봄
129	  Patek Philippe	존나 이뻐서 미치겠다전에는 사실 장원영 키크고 어리고 이쁘장한 애 라고만 생각했는데저 갸륵한 표정(끼부리는 표정)에 그냥 나는 홀려버렸다 ㄷ ㄷ
130	  loihi	진짜 공감성수치장애 온다....
131	  경경	"아무렇지도 않은디,,, 걍 이쁘구만"
132	  JH Baik	너무 웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
133	  배유진	갸륵 표정 개인적으로 좋아하는데여론이 좋지 않아 아쉽네요이벤트성으로라도 가끔 보여주셨으면 하는 작은 마음...
134	  반홍시	난 저 표정을 좋아했는데 갸륵이라는 반응을 뒤늦게 보고 좀 의아함 아무튼 예뻐 너무 
135	  dnwls qkr	애초에 의상부터 장원영한테 몰아주는것 자체가 문제임아이즈원때는 각각의 소속사가 모두 모인 집합체여서 몰아주는게 불가능했지근데 소속사 독점인 지금은 인기가 많은 멤버에게 몰아주는게 가능함문제는 그게 눈에 띌 정도로 대놓고 한다는거지일레븐 다른 무대들 보면 장원영 단독무대 수준;;;
136	  Efron chae	눗웃음이 매력적이었던 상큼달콤 과즙상 개죽이가 갑자기 어느순간 프리지아를 잡아먹어버렸네 ㄷㄷㄷㄷ
137	  유빈	그 다른 리허설 영상  보니까 표정 자연스럽게 해서  완전 프듀얼굴 나오던데 제발 화장연하게 하고 자연스럽게 표정 지어줬음 함
138	  ja sn	아웃으로 쌍수해서 어쩔수없음.. 인위적인 느낌 나올수밖에없음 자연 쌍커풀 아니면
139	  크리스마스이브	진짜 예쁘다.... 원영 하고픈거 다 햐 열폭러들 무시해....
140	  스윗	근데 지금 생각해보면 저 표정이 아이브 컨셉에 맞는 표정인 거 같기도 함
141	  구피	표정 부담스러운거 맞음부담스럽지 않았다면 지금처럼 까이지도 않았음논란? 이라기엔 좀 그렇긴 한데
142	  gate	진짜 너무예뻐 최고야
143	  I	한두 번 저러면 예쁘다 미쳤다 할 텐데 화면 잡힐 때마다 계속 그러고 있음…
144	  이뽕엡뽀	킹 받음ㅋㅋ 이렇게 생각하는 사람이 많다니ㅋㅋ
145	  anjfqhk	연습한 표정도 중요하긴하지만 ㅠㅠ 좀 더 자연스럽게 편하게 해도 되는데..
146	  채민	아니ㅠㅠ아이브 세계관이 나르시스트라서 저런 연못에 비친 자신을 보고 황홀하게 바라보는듯한 표정 짓는건데...워녕이 표정 이쁘기만 하고 나는 저 표정 잘 살리는 워뇨가 프로라고 생각함..솔직히 장원영 갖고 억까 그만하자ㅠㅠ
147	  Jooyeon Lee	열음님 메이크업보고 갸륵이뭔지 찾아본다고 타고들어왔는데.. 근디 그 주변분들도 다같이 살짝식이라도 그 표정 짓는거 같은데 그냥 그런 몽환적?인 표정 짓는게 안무중 하나인건 아닌가용?
148	  수색	갸륵ㅋㅋ 개웃기네ㅋㅋㅋㅋ
149	  성이름	언니들 거울보고 킹받은걸 위엔잉한테 풀지마시긔 ㅋ
150	  sina	왜 위엔잉이에요?
151	  채린	 @sina  화교라서
152	  냥복	언니들은 원영이 좋아함ㅋㅋㅋㅋ
153	  ᄋᄋ	눈에 힘을 빼고 입에 힘을 주고 입을 벌리니까 갸륵한 표정이 나오는 듯0
154	  사이버망령	갸륵보면 킹받긴한데 이쁨ㅋㅋㅋㅋㅋㅋㅋ
155	  뚜누니	갸 ㅋㅋㅋㅋㅋㅋㅋㅋ 륵ㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ 킹받네
156	  ᄃ	진짜 느끼하다
157	  저항이 샀다	원영아 항상 응원해
158	  로위	보기 싫다고 예민충 마냥 떽떽 거리는 애들 이해가 안감; 정색하면 정색한다고 까이고 평소에 미디어 앞에서 표정 신경쓰면 까이고ㅋㅋㅋㅋㅋ 뭐 어쩌라는거냐; 그리고 과유불급이라는 말이 ㅈㄴ 웃긴게 애가 평소 생활에서도 마냥 저러면 문제지만 노출되는 곳에서 표정 신경쓰고 예쁘게 보이려고 노력하는게 뭐가 문제임? 쟤는 직업이 저거얔ㅋㅋㅋ 자연스러움을 원하면 걍 배우를 파; 뭐하러 끼 부리고 살아가는 아이돌을 파니ㅋㅋㅋㅋ표정을 괴상망측하게 찡그리거나 엽사 찍는것 마냥 뒤집는것도 아닌데 예쁜 표정 하나로 지들 불편하다고 애 하나 매장 시키는 애들 진짜 노이햌ㅋㅋㅋㅋ 갸륵하다고 비꼬고 놀리는 애들 백날 떠들어봐라 니들이 따라한다고 저 비주얼 나오나; 쟤니까 저 표정 지어도 받쳐주고 비주얼이 부각되는거야ㅋㅋㅋ 영상 모아보니까 걍 장원영 쟤가 오지게 노력하는 완벽주의 노력파라는것만 알겠다ㅋㅋ 다른 유명인들이 저 표정 지으면 언니 예뻐요ㅠㅠ 할 것들이 꼭 애 하나 싸잡아서 뒤집어지는거 보면 걍 웃음만 나옴 ㅋㅋ
159	  킹받는o3o	와 진짜 공감ㅋㅋㅋ보기 싫으면 안 보면되지 굳이 꾸역꾸역 쳐 들어와가지고 표정 거북 ㅠㅡ ㅇㅈㄹ 거울보고 따라한 자기 모습 보고 거북해진듯 평소에 아이돌 관심 없는데 알고리즘 떠서 봤더니 표정 하나 가지고 이렇다 저렇다 소리 듣는거 보니까 진짜ㅋㅋㅋ
160	  ㅇㅅㅎ	표정연기도 적당히 해야 예쁘지.. 너무 과해서 부담스러움
161	  댕각스	좋던데. . 개취아닌가 ㅎㅎ
