	id	document	emotion
34	  팔팔	…? 엠버는 정체성이 여돌이 아님. 모욕이 아니라 본인이 인정한 성은 남자임. 그냥 보이는 거니…	1
35	  박애기	무대 자체가 쪽팔려   역량 안됨	0
36	  김사과	엠버 처음 나왔을 때 거지같다 생각했는데 지금 생각해보면 개 잘하는 거였어	1
37	  msg막내메인댄서박재정	여돌이 아니라 그냥 sm 통틀어서 랩을 제대로 했던 사람이 엠버였던것 같음	1
38	  햄스터쥑쥑	"민쪙이 목소리 존나 잘 들리고 잘 부름,,,"	1
39	  DT_돌멩쓰	이런 공연을 많이 해봤어야 하지..이런 공연도 거의 처음인지리 긴장도 많이 됐을 거고 실력도 끌어올리지 못했을 건데 코첼라라니..코로나시기에 데뷔한 거라 대학공연이런 곳도 많이 못 가봤을 거고..그런데 바로 이런 큰 무대 서면 얼마나 떨렸겠냐고.. 무대 좀 많이 세워주고 올리지..	1
40	  te ri	ㅋㅋㅋㅋ 생각좀해라 쟤들이 동네 에서 무대하던 애들이냐?인정할건좀 인정해	0
41	  az007	 @te ri  난독인가	0
42	  MAZELLANI	 @te ri  그럼 쟤네가 뭐하는 애들임? 이제 데뷔3년차인 애들이 누가보면 뭐 데뷔 5~6년 이상 된 줄 알겠다 ㅋㅋㅋㅋㅋㅋ	1
43	  yull loo	 @MAZELLANI  블핑 코첼라 처음 무대 생각하면 비교 불가지 ㅋㅋ	0
44	  DT_돌멩쓰	 @yull loo  블핑이야 여러번 무대 서고 올라갔으니까요.. 물론 실력도 뛰어났지만	1
45	  saejun farm	 @DT_돌멩쓰  라이브 해본적없으면 저래도 되는건감?저건 노래를 안했다는건데	0
46	  DT_돌멩쓰	 @saejun farm  그런 말은 하지 않았고 바로 코첼라로 간 것에 대해 말씀을 드린 겁니다. 당연히 문제가 있죠 일단 sm 이수만부터 노래 하지 말아라 이것도 예술의 일부다 이러는데 어떻게 무대에서 실력을 키울 수 있었겠어요. 그래도 코첼라 가기 전 무대라도 더 서 보게 하라는 거죠	0
47	  saejun farm	 @DT_돌멩쓰  쉴드쳐주는것 자체가 그런말씀에 동의를 하신거 아닌가요?아이돌에 경험 없어도 가수인데첫 라이브 무대를 저렇게 망쳐놓고본인들부터 만족을 한다고 문제없다고 하는애들인데요?그렇다고 뮤뱅같은 프로에서 서본적이 없는것도 아니고요.이수만같은 듣보가 누군지는 모르겠지만 가수보고 노래 안하는것도 예술의 일부라고 할거면 차라리 에스파 일본 보내면되죠.	0
48	  아기상어	카리나랑 지젤은 잘부르지만 뭔가 긴장해서인지 신나서인지 음이 한껏 높아져있는데 윈터는 진짜 프로그래밍된 로봇인가 싶을정도로 ㅋㅋㅋㅋㅋ cd랑 똑같다.. 멘탈이 진짜 장난아닌듯..	1
49	  한다경	윈터는 앞으로 계속 성장하면 태연같은 롱런하는 솔로아티스트도 될 수 있을것같다.첨봤을땐 외모도 닮았다 생각했는데 포지션도 닮은듯.	1
50	  흐므	애들 다 열심히 노력해서 코첼라 무대에 올라간 것만 해도 멋지지만 조금만 더 성장하면 완벽한 무대가 만들어질 거 같넴	1
51	  오직민둥맨둥만 	진짜 부럽다 그리고 진짜 너무 좋다ㅜ	1
52	  강소연	"약간 무슨 느낌이냐면,, 그냥 본인들끼리만 너무 벅차서 관객들에게 신남을 전달하지 못한 느낌,.. 그니까 음… 이도저도 아닌 맹맹한 느낌이 강하다 그래야 하나,, 애초에 에스파 곡들이 하나같이 다 엄청 신나고 그런 곡은 아니어서 차라리 멋지다...ᐟ 하고 입 떡 벌릴 만한 완성도라도 있어야 하는데 메인 보컬이라는 닝닝은 말할 것도 없고… 지젤은 목소리가 크게는 안 들려서 모르겟고 카리나는 목소리가 작아서 그렇지 잘 부르는 거 같긴 한데 진짜 빵빵하고 크게 잘 들리는 건 윈터 밖에 없는 거 같음. 그래서 그냥 진짜 본인들만 벅차서 신나하는 거 플러스 어정쩡함이 잔뜩 깔려진 느낌이라 해야 하나,, 보는 내내 으음… 거리다가 끝나 버림.,,"	0
53	  DUNA	 @윤이레  이게 훈계로 보이는 거면 심각한데?ㅋㅋㅋㅋ 피드백이랑 비난도 구분 못하면서 뭘 너보다 잘 나갈 거다 이러고 있어 당연히 잘 나가야지 연예인인데	0
54	  개구리	ㄹㅇㅋㅋ 지들끼리 빡센 리허설하는것 같음	0
55	  동딩	오 첫째 둘째줄 쌉공감	1
56	  moon	약간 노래방에서 자기목소리 노래에 먹혀서빽빽 지르는 그 느낌..	0
57	  달힌	살짝 잘못 된 정보가 있는 게 에스파는 데뷔 때부터 리더 빼고 포지션이 없었어요ㅠㅠ 강소연 님이 하신 말씀 모두 맞다고 생각하구 에스파가 앞으로 더 노력해서 잘 하면 좋겠네요	0
58	  성이름	나는 도대체 왜 논란인지 모르겠음 아이돌이 춤추면서 노래부르는 직업인건 맞지만 에스파 라이브로 항상 논란있었어서 이번 쌩라이브 무대에 많은 관심이 있는 상태에서 춤 격렬하게 추느라 음정 많이 흔들리면 또 그것도 뭐라고 할 거면서 춤 살살추고 고음 쭉 잘 올라가는데 자꾸 꼬투리 잡는 거 솔직히 이해 안 됨	1
59	  함 시작해보자	 @성이름  걍 실력 안된다는 말임	0
60	  한이서	 @성이름  무대 장악력이 부족함	0
61	  로챙	 @성이름  아이돌은 그게 직업이잖아요.. 당연히 잘 해야하죠 그리고 마마무나 엔믹스처럼 춤 추면서 노래 잘 부르는 그룹들 많아요	0
62	  삐리링	내가 느낀 게 딱 이 느낌.. 글구 노래나 랩 한다기보다는 음에 맞춰 큰 소리 내는 듯한	0
63	  유리	소리지는분 떨림이 되게 청명하네요	1
64	  인세인	저게 청명함? 익룡소리 개듣기 싫은데	0
65	  동린이	익룡 치워..	0
66	  ᄀ2	비꼰건가ㅋㅋㅋㅋㅋ	0
67	  タテア	맥이는거 같은데 ㅋㅋㅋ	0
68	  김준엽	저 익룡이 성량 더 좋음 ㄹㅇ ㅋㅋ	0
69	  얼음	근데 진짜 춤은 빡시게 연습한거같네잘춘다.... 뭐 음방에서도 잘추긴했는데그냥 애쓰는거같아서 마음아프다걍 앞으로 연습많이하고 무대 많이 서줬으면 좋겠다.에스파 응원해!!!!!	1
70	  하연	"나야 일반인이라 실력 운운하긴 어려운데 부족한 부분이 있으면 연습으로 채우면 된다 생각함 아직 어리니까 주눅들지 말고 앞으로 더 발전된 보여주길 뭐든 외국에서 이렇게 무대하는 k아이돌들 리스펙,,"	1
71	  ᅲᅲ	윈터 진짜 잘한다	1
72	  먹짱강쥐-	에스파 너무 멋지당 에스파 정규 1집 내고 빨리 콘서트 가고싶어여	1
73	  엉댱	윈터가 진짜 잘한다…	1
74	  Beam	에스파는 실력 다 갖춰져있으니 관객있는 무대에서 경험쌓을일만 남았다	1
75	  Lee a	관객있어도 립싱크 하던디?	0
76	  쏘아올린 작은 공난쟁이가	애들이 춤 멈추고 잠깐 서있을 때의 보컬은 상당히 안정적임 긴장도 긴장이고 적은 경험도 안타깝지 그래도 앞으로 성장하는 데에 큰 동기가 될거임 큰 무대에 섰으나 대중의 기대를 채우지 못했다는 기억을 가져가서 더 연습할거임. 저 멤버들이 본인 개개인을 비아냥거리는 댓글은 안 보길 바람. 아직 2년 안됐다 했나? 나와서 콘서트 경험도 얼마 없다 들었음 이것도 댓글 대강 보고 말하는 거라 틀렸을 수도 있으니 감안하고 보셈ㅠ 아무튼 무조건 비웃을 필욘 없다 생각함 데뷔한지 5-7년은 됐는데 이정도다? 하면 화를 내도 되지만 신생그룹이니 무한한 성장가능성이 있음	1
77	  코코아	맞아요 상처받지말길...ㅠ	1
78	  김연경 빵셔틀	맞음 다들 마녀사냥 개쩖	1
79	  황현호	멋진 댓글이네요 공감합니다 ㅎㅎ	1
80	  곡동	행사에서 립싱크하는 거 보면 큰 동기가 안됐나본데	0
81	  박구운	깔사람은 어차피 깜. 자기 인생관이 스며든거라	1
82	  김영은	8:20 카리나 진짜 보컬도 개짱짱함... ㅠ	1
83	  강선봉째째3개	나쁘지 않은데 대댓 왜구래	1
84	  헤비	근데 여기 뭐가 문제임 ㅋㅋㅋ? 카리나 개잘했는데 이부분	1
85	  밍개롱	이부분은 좋음 진짜	1
86	  쀼잇	 @닉넴추천좀  너무 비난하지 마세요1년 반도 안된 신인이에요..	1
87	  haze dogs	암허어어ㅓ어어어 세비지	1
88	  haze dogs	 @쀼잇  1년 반이면 신인은아니지	0
89	  뇽냥	 @쀼잇  쟤네 타이틀곡에 활동한 걸로만 치면 같은 1년 반인 타 아이돌들보다 훨씬 경험 많음.. 큰 회사라 거의 쉼없이 노래뽑고 뮤비찍어서 경험없다고 쉴드치기엔 ..	0
90	  린	코첼라에서 떨리고 긴장됐을 텐데 넘넘 잘하고 왔당 멋져 	1
91	  장대한	응 못하고 왔어요	0
92	  SJIN K	같은 무대 선 타돌과 비교가 되서 ...다시 시작한다는 맘이 필요한것 같네요 보컬도 부대 매너도 업글시키고 자신감도 키우고 다이어트도 하고 ..  어쨌든 화팅	1
93	  한서아	이정도 춤추고 노래 부르기 정말 힘든거아는데... 고생했어요 에스파 ㅠㅠ	1
94	  허은진	와 뭐야 잘하는데? 해서 보면 다 윈터파트네 윈터 노래 잘한다	1
95	  야도란	윈터는 진짜 잘하네	1
96	  딸기쉐이크	경험이 적다라고 하기에는 이들은 가수이다. 똑같이 경험이 적은 넷이지만 윈터는 잘했고 팬이 아닌 일반 대중들도 윈터는 잘해서 칭찬한다코첼라에 슨 다른 가수들에 비해 현저히 떨어지는 무대인것도 사실이고 그래서 논란이다팬입장에선 안타깝고 우쭈쭈해주고 싶지만 그건 언제까지나 열렬 팬들에 한해서이다.아이돌이 아닌 아티스트로 거듭 나려면 라이브를 잘해야한다. 아직 멀었으니 언플 하지말고 실력 키우자	0
97	  박종배	지젤 링링 수음 안되는 마이크 잘들리지 않는 인이어 탓 하기엔 어지러운 무대네요  처음 잘 안나오는 마이크로 조진거라 쳐도 두어곡 부르고 목나가냐고 비난 면키 힘들구요  카리나 지젤은 첫키 못잡아서 버거운 음역으로 부르게 되고라이브 비난 이겨볼려고 갔으나 윈터만 살아남았네요윈터는 sm에서 춤으로 들어가서 노래를 스엠에서 배웠는지기본기 가 튼튼하고 무대상황 대처가 아주훌륭 합니다하지만 프로 가수라면 윈터가 기본값이어야죠 앞으로 좋은 무대 있길 바랍니다	0
98	  dldeo95	윈터가 걔중에 잘 한거지 솔직히 쉴드 불가였음	0
99	  김건우	지젤은 진짜 대단하다 이정도면;	0
100	  고종섭 저장소	저렇게 격한 춤을 추면서 노래하는데.. 이정도면 잘하는것 같은데..	1
101	  ᄋᄋ	먼 소립니까... 에스파가 무슨 학교 동아리 같은 것도 아니고 연예인인데 음정도 안 맞는데요?	1
102	  고종섭 저장소	" @ᄋᄋ  가창력 실력파 가수는 아니잖아요.. 박효신,김범수,나얼님이 살짝 몸 움직이면서 저 정도면 심각한거 맞죠..근데 에스파는 사실상 퍼포먼스 댄스 가수 아닙니까?"	0
103	  고종섭 저장소	 @ᄋᄋ  저정도로 춤추는 댄스 동아리가 어딨어요	0
104	  바밤바	그냥 못하는거 인정하기 싫다고 하세용…	0
105	  ᄋᄋ	 @고종섭 저장소  에스파가 댄서도 아니고 아이돌인데 춤만 추면 그건 댄서 아닌가욤??? 가창력 실력파까지 바라는 것도 아니고 아예 음정이 안 맞는데 무슨 소릴 하시는 겁니까 ㅋㅋㅋㅋㅋㅋㅋ 그럴 거면 예쁜 댄서를 해야죠	0
106	  고종섭 저장소	 @ᄋᄋ  예쁜 노래 하는 댄스그룹 이잖아요.. 에스파를 객관적으로 생각해 보세요	0
107	  혼미	 @고종섭 저장소  유튜브에 연습생쪽댄서들보면 훨씬잘합니다에스파는 걸그룹중에서 지금 최상위그룹쪽인데 탑급에비해 실력이 딸리는건맞는데 무지성쉴드치면욕만더먹어요	0
108	  혼미	지금 에스파가 욕먹는이유중 제일큰게라이브를안하고 죄다 ar만써서그런건데Ar만쓰니 실력이안늘지이런소리가 그냥 나오는게아님	0
109	  ᄋᄋ	 @고종섭 저장소  아뇨 님아 댄스 노래 다 하는 게 아이돌이잖아요 아이돌 뜻 모르시는 거 아니죠? 그리고 위에 분 말씀대로 님처럼 무지성 쉴드 치면 욕만 더 먹습니다 에스파한테 크게 좋을 거 없어요	0
110	  아라 조	에스파 오늘도 너무 잘했어 다른사람들 욕해도 저는 에스파가 잘했다고 생각해요에스파 사랑해	1
111	  ㅠ!	다들 긴장한 티 나는데도 잘 하네.. 	1
112	  염혈검사	수고 많았다네 첫 관객과 호흡하는 무대	1
113	  김코드	라이브 할일이 그동안 없었음에도 불구하고 준비는 많이 하고 있었다는게 느껴진다 이제 경험만 좀 쌓으면 됨	1
114	  이프로	윈터 하드캐리 쩌네	1
115	  김따꿍	에스파가 실력이 부족하기보다는 노래가 뭐랄까 페스티벌에 어울리는 노래가 아닌듯합니다. 신난다는 느낌이 부족합니다. 앞으로 사람들이 많이 모이는 공연에 서게 될텐데 사운드 빵빵하게 편곡하고 그래야할것 같아요. 많은 가수들이 페스티벌 같은 공연은 더 신나게 애드리브도 하고 붕붕 띄우는걸 합니다. 그걸 해야할것같아요. 에스파도 공연 제스처를 더 키워야겠지만 소속사에서 어떻게 길잡이를 하는지가 중요하다 생각합니다.	0
116	  김지원	커버싸주지 말고 ㅋㅋ 실력이 부족한 것도 맞잖아 ㅋㅋ	0
117	  김따꿍	 @김지원  에스파 노래 끝까지 들은건 이 영상이 처음이고 팬도 아닙니다. 제 주관적인 평인데 말 참 예쁘게 하시네요.	0
118	  소다	이거 맞음 넥스트레벨에 렛츠고! 하고 하이라이트 넘어가는데 노래가 그만큼 신이 나지 않음	0
119	  --	근데 라이브말고 그냥 음원 틀어놓으면 신나지않나 시내 거리에서도 충분히 신나게 나오는데 노래탓은 아닌것같음	0
120	  ᅵuz	에스파가 너무 쩔어서..지금 엉엉 울고 있음..	1
121	  한발짝	애들 라이브 잘하는데 국내에서도 시켜 주지..	1
122	  lymj	아직 관객 있는 무대에 많이 못 서봐서 그렇지… 라이브는 야무지게 다 하는 거 같은데	1
123	  ᄋᄋ	윈터가 진짜 잘하네	1
124	  젼젼	노래방가서 에스파 노래 불러보면 알겠지만 노래가 꽉찬 느낌이 아니던데 그래서 좀 비어보이는건가 싶기도 함 ㅠㅠ 그래두 윈터는 진짜 너무 잘해서 놀랬곸ㅋㅋㅋㅋ 카리나도 보컬 랩 무난한데.. 지젤은 가끔 숨차보여도 무난한데 닝닝이는... 메보인데 제대로 못 하는뎈ㅋㅋㅋ 제 2의 바다 언플 이제 금지임...ㅠ	0
125	  이지민	지젤이 무난하다고? ㅋㅋㅋㅋㅋ 아니 닝닝이 중국인이지만 지젤보다 낮게 처버리네 ㅋㅋㅋㅋㅋㅋㅋ	0
126	  이지민	아니 7분43초 보삼 이것보다 닝닝이 못했다고?ㅋㅋㅋㅋㅋ	0
127	  젼젼	" @이지민  지민님 왜케 화났는지 모르겠는데 ㅋㅋㅋㅋㅋ 지젤이 무슨 세계최강 랩퍼로 언플한것도 아니고 평소 영상 찾아보면 저정도 실력인걸 알고있어서 전 별로 실망감이 없었음.... 지젤 본인도 평소에 연습생 기간이 짧아서 부족하다는 말 했어서 그러려니함ㅎㅎ... 닝닝은 솔직히 언플에 비해서 실망감이 엄청 컸습니다,,, 제2의 바다라고 언플 했는데 저 실력인건 아니자나영"	0
128	  기모띠죠	 @젼젼  님 말이 마즘! 닝닝은 자신이 메보라고 했어서 실망이 좀 컸죠...	0
129	  하이	"데뷔한지 일년 좀 넘은 신인이고, 코시국에 데뷔한 그룹이라 관객들앞에서 무대경험이 거의 없다고 봐야하고, 쌩라이브 무대는 처음인데 그 처음이 제일 큰무대인 코첼라다? 긴장도 많이 됐을거고 심리적 압박감이 심했을거같다고 생각해요.. 그럼에도 즐기고 최선을 다하는 모습이 진짜 대단하고 멋지다고생각함 앞으로 발전 가능성이 많으니까 좋은 시선으로 봐줬으면 좋겠네요ㅠㅠ"	1
130	  Coolhit	프로다운 모습보다는 신인이라 긴장했으니 봐달라는 인식은 우리나라 사람들 머리로는 이해 못해요	0
131	  프로댓글러	데뷔고 뭐고 쌩라이브를 못하면 가수가 맞긴맞냐	0
132	  백송아지	너무 멋져요♡ 너무죠앙♡	1
133	  Ellie	라이브는 둘째치고 이런 페스티벌같은 무대는 관객과 소통하고 함께 즐기는 느낌이 중요한건데 확실히 코시국에 데뷔한 아이돌이라 그런지 관객이 있는 커다란 무대는 익숙하지 않아보임..다들 많이 긴장한것같기도 하고. 사실 나는 라이브도 닝닝이 좀 불안해보이는거 빼곤 나쁘지 않은거같음. 윈터는 존나존나 잘하는거고	1
134	  잘살고싶은 나이 	ㅋㅋㅋ 못부를 노래를 판매하는 가수가 어딨음? 윈터빼고 목소리 다 뜨고 불안불안하고 듣기 거슬리는데 당연 욕먹을만하지 ㅋㅋㅋ난 카리나한테 실망많이함;;	0
135	  굿굿	잘하는 윈터는 욕안먹어	1
136	  yuna choi	"실시간 무대에 익숙하지 않아서 크게 부르려고 일부러 더 목에 힘쓰는게 보이는 것 같아요. 그래서 실제로 녹음된 음악의 음과는 다르게 부르기도하고, 능숙하다기보다는 어리숙해보이네요. 다들 열심히했는데 그중 제일 성량좋고 정확하게 부른건 윈터뿐인듯"	0
137	  박원규	"아직 큰무대에서 빚을발하기는 더 연습과 많은무대를 해야할듯콘서트 .,,,,"	0
138	  눈높이싫어	솔직히 기대한만큼 못했던 것은 사실임..물론 아직 2년 밖에 안됐고 코시국에 첫라이브로 코첼라 간거니까..근데 스엠은 언플을 왜 그렇게 함..? 스엠만 아니였으면 에스파 욕 덜 먹었음ㅠ 라이브 좀 더 연습하고 공연 하면 좋겠다ㅠㅠ 스엠 제발	0
139	  코코아	얘들은신인이고 앞길도많은데 왜이렇게 깔까요ㅠㅠ	1
140	  은솔	ㅇㅈ 연습 좀 더 하고 나중에 보내지 에스파 팬들한텐 미안하지만 아직 코첼라에서 무대할 정도 실력은 아닌것 같음	0
141	  연쇄방구살인마	닝닝은 겉바속촉느낌지젤은 여전사느낌윈터는 요정느낌카리나는 말로 표현 할 수 없는 여신느낌	1
142	  _세은	닝닝은 뭔가 멸종위기의 중국 호랑이 느낌	0
143	  사막여우	"에스파 팬이 아닌 사람의 지극히 개인적인 의견인데윈터님은 진짜 뭐 대박이고, 카리나님이랑 지젤님 음악쪽은 제가 모르니깐 넘어가고, 닝닝님은.. 마이크가 안좋았던건지 목소리가 작았던건지 구분이 안되는데 소리가 작고..  긴장하신건지 목소리 너무 떨려서... 그것만 아니였으면 괜찮았을것도 같은데... 다른 아이돌에 비하면 어찌되는지 몰라도 욕먹을 무대는 아니라고 생각해요.."	1
144	  성이름	ㅇㅈ 저도 에스파가 데뷔초에 너무 잘해서(립싱크던지 뭐던지간에) 기대치가 높아져서 음방에서 했던 만큼 안 하면 욕 먹는게 불쌍함	1
145	  진규	ㅋㅋㅋㅋㅋ아니 소리지르시는 분 목 나가시겠어요 ㅠㅠㅠㅜ진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ쿠ㅜㅜㅠㅜ진짜 좋아하시나 보다	1
146	  지드라군	노래자체가 난이도가 있네..더군다나 댄스가 격하고!뭐 그정도로 해두자	1
147	  찍이	모르겠고 익룡분들 미쳤다.	1
148	  scorpion	나만 잘부르는 것 같나...애초에 한곡만 부르고 간게 아니라 4곡이상 춤추면서 노래 부르는 것 같은데 당연히 힘드니깐 점점갈수록 음정이 불안할 수 밖에 없지. 아무리 프로가수여도 격한 춤과 음정키가 높은 4곡이상 노래를 다 부르고는건 불가능함. 근데 저정도면 너무 잘하는 편 아님? 왜 다들 불만이누...	1
149	  ö	"이렇게 큰 무대에 이런 준비가 덜된 그룹을 올리나까 이 사달이 나지 ,,, 좀 데뷔한 그룹들 올리면 훨씬더 성과가 좋았을것 같은데 ㅠㅜ"	0
150	  Suu	윈터 멱살캐리 지린다	1
151	  지니	난 왜 마지막 무대보면서 눈물이나지...필사적으로 부르는데 눈물나네ㅠ	1
152	  Bibi Park	라이브 자체가 이상하거나 아주 못하진 않았는데 좀 무대가 허전해보이긴함… 미국까지 갔는데 댄서들이라도 세우던가 하지;;; 그리고 딴거보다 블핑 괜히 건드려서 더 혹독하게 평가 당하는듯ㅋㅋㅋㅋㅋ	0
153	  지젤 다리 등반하다가 조난당함	카리나가 내지르듯이 노래부른 부분도 못한게 아니라 호응을 유도 한건데 반응도 없고 썰렁하고 뭔가 허전하니 그냥 카리나 혼자 뻘짓하고 노래도 못하는 것처럼 보임 ㅋㅋㅋㅋ	0
154	  랄랄랄랄	모르는 노래라 더 호응하기 힘들지 않을까…내가 외국인인데 에스파 노래 처음 들으면 좀 얼타고 잇을것같아…	0
155	  이다은	아니 진짜 윈터가 멱살잡고 캐리하네	1
156	  해	뭐 얼마나 못불렀나 했는데 진짜 왜 욕먹는지 1도 모르겠는딩 음방 앵콜 잘 불렀을 땐 그렇게 칭찬하더니 이때싶 라이브 못한다고 물타기로 욕하네참... 블핑이랑 비교를 왜 하는지 모르겠음 그럼 우리나라 여돌 전부 까여야 하는거 아님? 무대 기획은 전부 스엠탓 아닌감?ㅇㅅㅇ 뭐 얼마나 대단한걸 바랬다궁	1
157	  모어쩔	이정도면 잘했는데..? 도대체 욕 먹는 이유가 뭐임 응원해 에스파	1
158	  치팅치팅쵸쵸	많은 관중 앞이라 긴장한것 같은데.... 코로나때 데뷔한 애들은 아직도 신인같음	1
159	  성동현	윈터 ㅈㄴ잘하네Sm이 윈터는 잘키웠다카리나도 괜찮은데 목소리도 좋고	1
160	  박원규	가수는 노래가 실력이다노래할때 가창력  두려움은 있을것이다하지만그걸이겨내고  무대에서 자연스럽게즐긴다면 그런생각은 잊어버리겠죠.그리고 자신들만 무대에서 즐기고  죄선을다했다고생각하면  오산이죠대중들의시선 무섭고 정확합니다.앞으로 더 성장하길~~	1
161	  하순이	에스파 힘내 !!!!!!!!!	1
162	  민둥민둥이	윈터는  음원이랑  똑같네.  ️	1
163	  BirdnTree	에스파 쌩라이브 최고	1
164	  식류성역도염	와 윈터 개잘한다	1
165	  후훗	춤이랑 노래랑 할려면 진짜 힘들겠다..	1
166	  쓰레기	연습 많이 해서 더 좋은 모습으로 만나면 좋겠다	1
167	  samoyed	"대학축제 논란 나서 이 무대 보게 됐는데 코첼라 서는 가수로서 어떠한 위엄도 없음. 블핑이 가진 무대 장악력, 라이브, 춤실력,  비주얼, 음악 사운드랑 비교도 안됨. 에셈은 어쩌자고 얘네를 코첼라에 보냄?ㅠ 블핑이 부러워도 그렇지..그럼 그렇게 잘 만들든가"	0
168	  서이원	저 연차에 충분히 잘하는거 같은데.. 왜 다들 비교 하느라 안달인지 모르겠다...	1
169	  김다애	아이고 진짜.... 곡도 좀 빵빵하게 편곡해 가지기회를 못 받아먹은 느낌...	0
170	  하울	윈터 라이브 잘하네	1
171	  Jin	근데 다들 그래도 잘하는데 너무 못한다는 식의 댓글이 많은듯 충분히 잘했고 노력했으니 에스파는 너무 상처받지 말아요	1
